prompt,Unnamed: 0,chosen,rejected,diff,source_index
I actually liked this,10662, film a lot more than a lot of the horror films of the 20th Century," movie, it ticked eyes throughout the whole movie throwing up images of hot girls",0.0003140568733214,1777
I actually saw China,19548, Doll just when is the best movie you'll ever see on Stewart's Youtube channel,'s army parade along with Dillon's family 2 years ago (i thought Chinese were,0.1851114630699158,3258
I admit,11358,", I figured I could get the DVD back sometime, due to the quality of", that it drew a lot of ire from the plot rather than addressing the core issues,0.0009012235095723,1893
I admit that the majority of this,18096," film is simply long, and painfully slow. Highly recommend it and don't waste", poetry/horror/silly/hot-world was packed in. I,0.9979140448267572,3016
I admit the problem I have,17100, with most muggers. While they don't chase around like some heiststers," with the script - it going to look like a real tale of friendship, but",0.001739596540574,2850
I admit to,20268," a bunch of friends that read this, and they feel the same way about this"," not iconic, but lots of its surroundings were uncomfortably graphic and over-",0.9967252316419036,3378
I admit to liking a,11178," lot of Tom Selleck films, Haydn said the same of the Meet"," certain guy, but also want to use my balls as well.<|endoftext|>",0.0030357837677004,1863
I agree,14664,; it shows how another actor lives up to the role he appears in. And," with him, that the ONLY indicator of reality was that from 1963 to 1965 that",0.0069236159324646,2444
I agree totally with the last commenter,4902, who found this show all cool. This show must have grown on you the second, who says I did not understand the duties and responsibilities of Susan Mervyn.,0.9981766931014135,817
I agree with most of the Col,5328,ton Brook reviewers who are going to jump to conclusions here. ANY group whose goal,umbo fans that he wasn't even a good DJ playing to. After the credits,0.9688568493002097,888
I agree with other users comments,14382,. It feels like the _rescue_ of the *new_ JamesE, from others. FIELD IS ABOUT to close at the end. I believe that,0.0016737580299378,2397
I almost,1620, couldn't.<br /><br />I watched the Let it Be or Let, expected that someone would get lied to on a daily basis by this movie and assume,0.0033153453259729,270
I also saw this amazingly bad piece,19812, **at** vs. A Thing About Love. It goes in my top ten," on the Sci-Fi Channel this past Friday night"" <br /><br",9.919854346660006e-05,3302
I always felt,1158, sorry for the tipi Indians before they got the mild-mannered atomic suit, like I lost time by watching commercials and hearing spontaneous lines by ProfoundMutant,0.968133537331596,193
I am,1002," also a believer that when Gary Jeep runs your business, he triggers the right"," still skeptical about the movies as critics, but one thing after another these early dict",0.0123008489608763,167
I am a,16146, huge fan of Gene Hackman and when trying to prove one thing again! For, long time student of '20s films. But 'To Kill a Mocking,0.9653956070542336,2691
I am a big fan,648, of the Tom Berenger classic. The visuals are pretty good but there is, of K-9 but i am very disappointed. The director did a good job,0.998196339700371,108
I am a fan of,14136," the Flash, but as someone who is a fan of Flight of the Phoenix and"," minors when they're so versatile. There is a rematch I had with Chase,",0.0013759732246397,2356
I am a great fan of David,10482, Lynch. Rob Zombie is one of my favorite movies of all time on video.,. This movie wasn't a epic sourcebook to finally see how the world was,0.9968244670890272,1747
I am a guy,16386,", I can foresee your moods. I tend to appreciate songs that serve as", who watch games a lot because they watch what I am bored of and constantly try,0.0001631379127501,2731
I am a huge fan,19794, of it and have watched it many times. This incredibly early '90's flick, of Jordie Billingsley and I liked Theodor Demin's The Dick,0.0001386404037475,3299
I am a huge horror/,19998,comedy fan and love Ecchi - the most brilliant of all the works.,"prey fan, so I was sorely disappointed in the film!!! I was pleasantly",0.9982019595918245,3333
I am a lover of B movies,13506,. I gave the script a 7 for the creepy action in this movie. Why,", but it dated my Night Shift sessions, and unfortunately for the rest of my",0.9965501533588396,2251
I am amazed at,4056, D- Wahui.<|endoftext|>, the warmies genre that you can't have all those wacky side stories so,0.0089547038078308,676
I am an,18054, ultra-fute musical genius. I'm quite aware that I somehow have an," ex-Christian, I cannot speak to a person that has any empathy for others",0.9939790051430464,3009
I am astounded at the,21840, level of starkness received from reguard this film (and by everyone else, comments he receives from so many people...and this is sorrowful to see however,0.002121865749359,3640
I am compelled to,3348, keep this one back with the item early next year. Mr.witte is, say we must NOT load the Jericho on an obscure film list at all. You,0.9935047454200684,558
I am completely,8766," freaking out. There is a music video special called ""Trocpert"""," moronic,, which it was not i be defining me (despite all my agenda",0.0013293385272845,1461
I am currently sitting here,3882,", picking my way thru reading this second draft, and because there are so many", on a big TV in Japan so I decided to buy the DVD's of the,0.0006638765335084,647
I am fully aware there is,21804, a Droid cult among the later generations. In 30s that is; other than, great talent out there that try to master the aerial uses of Navirs and/,0.0015672445297242,3634
I am generally more willing,5616," to count out front, with the exception of Prince Harry. Plus he is very", to believe that biopic works because it really gritty as well as the rest of,0.0010693073272706,936
I am going to keep this,4830," short, I believe the vote was 2+ to stream a movie to satisfy a", one on a shelf till this one after I feel like it's too early for,0.9934539217501878,805
I am guessing the,1788, reason the story is coincidental is because of a series of coincidence connected with this, filmmaker had no budget to release a movie around or room temperature atmosphere that mimic water,0.0079671909916214,298
I am not saying that Night of,12216," the Demons is cinematic perfection. I suppose Terence Delano was helped, but", the Living Dead is entirely in continuity. The second half of the film focuses marginally,0.9863125458359716,2036
I am probably,8310," the best TV major of my generation, so it therefore follows but its way too"," way too older though, so my plot line is either euthanasia or conditioning.",0.9937060430529528,1385
I am probably one of,9618, the leaders of this group and I thought the movie was good but more times a, the most offended U students in all of television history. The Academy have a monopoly,0.997614000167232,1603
I am really shocked that a,4050, moderate beau was (or was) invited to this very show with MovieOne, puppet based behind-the-scenes of either Fucking Lung or slaughtered was used,6.5985659603e-05,675
I am sad,8322, for the folks who went on this expedition looking for the answer. It's another," to say that this film is so useless. It features dull, bestial verses",0.0001692465157247,1387
I am starting this review with a,22020, sense of hope that although Peter Jackson is not explaining this movie in the normally embell," rating of ""C"". I can't think of a single critics awesome movie that",0.0050138088990935,3670
I am still shuddering at,21000, the pretty movie. If they had filmed with Bob Cummings aboard Chuck Norris' crew, the lack of chemistry between the two leads and I cannot believe that the Japanese channel,0.0001906242687255,3500
I am surprised that everyone,21546, still ranting about it is gone! We should welcome the amirite comment, here thought neither Perry or Audry Award winner Harry Doan was nominated). After,0.9634842155501244,3591
"I am terribly sorry, I",23328," tried to do more research than I could manage to find, so please don't", wonder what it is her characterGavin is saying in this film which is utterly,3.8527650759000295e-06,3888
I am the guy who usually,4398," acts like a historian, just, I mean, I want science fiction and fantasy", tripped my higher expectation in 15 OMBS. I've seen first hand and,0.0007246136665344,733
"I am very disappointed with ""K",5064,"uppet Movie"". Why was he given more money instead of Jordan Tosh, and more","enny Cohen's action"". The acting seemed slow and unimpressive. Michael Ge",5.79789048060005e-06,844
I am very open to foreign,21846, tourists coming to see this beautiful place.<|endoftext|>, film about the conflicts of World War II in Japan) and related issues.<br,0.0001239776611328,3641
I am wanting to make,10596," no mistake, this film is about justice, not about knife edge violence. In"," sure you don't regret your time, i did.<br /><br />",0.0004062056541441,1766
"I am, as many",17904," good novelists have said, panthetous... It doesn't depend"," of you already have written me, very disappointed. Sure, ""Paperboy""",0.9935947239864618,2984
I basically,732, tried to sleep the night away till I was old enough to lose the tugging, turn off my fw and whiff my pisively with commands that are probably effective,0.0016546188271604,122
I basically picked up,8286, the call when the script came in and realised it was better than I expected it," the book from Amazon, on DVD. The photos from the shelf, i took",0.9937782515771686,1381
I bet you Gene Simmons and Vincent,3006,"e Minnelli would, but Omni would be priceless!!!<|endoftext|>", Price did something like this a couple of times back at the same time. If,0.0140283107757568,501
I bought,13710," this film from its Waynes Brothers album stand around. Great movie, did what", this on NOLA Magazine and received an edition on cable with hilarious twists.,3.5166740417369446e-05,2285
I bought a,23778, copy ( which wasn't much harder to find) and the only flaw in the," thousand of them, soon forgotten. It always had the appeal of being different,",0.0026310086250304,3963
I bought this,13392," as a rental. There were several things I liked in Jules, but the", DVD because I couldn't finish the project so after 3 episodes I had to cancel,0.0074227289878763,2232
I bought this (it was only,7680, 2 cents from DVD box-of-worlds-usa.)--the every, 7 years old) late at Wendy's. When it came time to rent it,0.9954410537611694,1280
I bought this DVD for £,13398,6.00 and I am honestly hoping that in time the subsequent DVD will come,2 and I understand that the DVD didn't come with it by the way.,0.0038593143690377,2233
I bought this adaptation because,3378," it did not have the super mystical qualities to make me feel, and the creator"," it made me feel sick to my stomach. Unfortunately, the final shot of the",0.0009370911866426,563
I bought this film on,13680, DVD and reviewed it just because it was possibly one of the favourites of my life, DVD. Now what am I supposed to do!? Just watch it and come to,0.9979892274714074,2280
I bought this video at Walmart,12648," to see what really went on with this movie, enjoyed the movie, and I", just to see what was on. In the movie he shot comic with Monroe's,0.98387270886451,2108
I came,23736, to him who is now worth watching at least a few times of rock and pop, from a primarily African-American owner of small farmers in South Georgia a 42-,0.0086172819137573,3956
I came into this movie really,18750, expecting more than what I got. I tried to rate it on a scale of, weak and I had to correct me. (it is supposed to be a college,1.7241109162000924e-06,3125
I can,1842,"'t tell you the obvious difference, but from what I can tell, mostly the",'t imagine this guy who sunk the movie and then suddenly is in the context of,0.0087433655862697,307
I can always,17766," smile...if not smile socially. Are you Chinese?"" How much more can I"," pull off stuff with a straight face, I am sure. <br /><",0.0057465434074401,2961
I can clearly see,12324, players who remember filled out assessments like this but are still doing so while advancing to, why the makers of the show wanted the girl from the movie industry to be Mar,0.0012377500534057,2054
I can count (on one hand,18378,) the number of times Ron Howard first blew away the rest of the cast when, the few politicians who mar!!) a few which appeared in Vought porn and,0.0030152688268571,3063
I can find very little thats,12924, of interest mentally.The old military pad that was used for communication on the desert, entertaining in the movie...<|endoftext|>,5.579384742299999e-05,2154
I can hardly believe that this,7506," one! I hope they made money out of this movie, they really want me", was made to be on the shelves of independent women. No amount of hoopla,0.002070652146358,1251
I can not believe,17298, I am quite so fixated on the idea of seeing the Cuba-Soviet conflict, Amarna saying that this film has had such value as one can dawd,0.9861986683099532,2883
I can not believe such slanted,5274, historical scenes were so incredibly vivid. And fortunately I had the privilege of pandering," and false, violent action toward one law. Muslims were engaging in a long and",0.0017179787391795,879
I can only,4680," imagine the extent of that. Red, rising, giddy, guilt is brought", assume that whoever says that it isn't going to be anyone's favorite today is,0.0028492342680692,780
I can say nothing more,18336," with the ramshackle confines of this film, and the spirited semi-reality","!), but I bet the way that the last ten minutes flashes by everything is due",0.0004781478783116,3056
I can watch,23436," as many of my old favorites using color. First of all, Mr. Red", the street jokes for nearly 30 mins every Sunday on home cinema. Guy Flood (,0.9864206286147236,3906
I can't,2790, believe I'm never able to get to see the film. I'm so really," get quality under 100. The characters are shallow, the girls suck, the settings",0.0001941010123118,465
I can't believe,66, I remember the talented guys in silver. I wonder if I missed the breaking point, the women are grinching about that so much; I don't see how,0.0021433722577057,11
I can't believe how anyone can,18900," go to such a great project, let alone a fine film. I had just", make it so bad. I'm told it is a great way to start a,0.0023776490706951,3150
I can't believe that so much,6564," movie is about The Lauderdale, which stands like a beach from nowhere in Miami.", effort was put into that and everyone was just so unconvincing. <,0.0006809284095652,1094
I can't believe that this movie,11460, kept me laughing in the jolt. A 2 holes of hope coming...<, is still on the big screen... again... we saw this w/ this flick,0.0001284574973396,1910
I can't believe this,18372," show even existed, and i need a career in entertainment to become familiar with it", is running on this new film! This film belatedly comes out of my,0.0006160772172734,3062
I can't believe this film was,23010, attacked almost by 95% of the world! It's as balanced as I've, made after the true-crime etc era. There hasn't been a vampire in,0.9979593272437344,3835
I can't believe this movie managed,6762, to get the web show birth site. I have to wonder if I ate a, to go from being a minor hit to one of the worst movies ever made.,3.208767157049993e-05,1127
I can't figure out how,7842, they're comparing the events of the Sleeping Beauty story to people still dying or going," it made sense. It seems like Sci Fi of the 40s, with outright",4.148425068709993e-05,1307
I can't quite say that,13230," they aren't good movies with past tense moments.True, they're good children", this movie but Kevin McLeod was hyped for it all the time. Michelle,7.814168930031506e-05,2205
I can't really,17154," comment on a movie without mentioning to say yes, the movie is really good,"," understand how anyone could view that, but the reason is, in all its fer",0.0127612352371215,2859
I can't say,11196," more. I pair Christmas sticks with my years of vacation time, and I recommend", I'm much of a fan of John Liagman. But I would love,0.9809568673372272,1866
I can't say I'm,15360, sorry so this film will be missed. I wish this director's and story writers," angry at any of this stuff, although I did notice it feature a bit of",0.994393732165918,2560
I can't stand most reality,3012, show over-ideas that don't suit the type of TCM sitcom!," shows on cable anymore. I want to rent a movie, but this part of",2.5365909095800008e-05,502
I can't understand,18204, why people hated the movie and the news because of it! Many times people ignored, why this is NOT available in BOTH the SEP and STARE IPMs,0.0145854623988271,3034
I cannot,588, settle any claim for making this movie. I told you sitting back that I liked, imagine anyone bothering to give comments on this piece of garbage. Their blame should race,1.3326061889000138e-06,98
I cannot believe how uneducated,20172," this planet really is. Aside from bits of humor, every movie looks and sounds", he really was and how confused he suddenly became about his own legacy. Towards the,0.0007113869069144,3362
I cannot believe that,3582, I would ever have known which movies they were into if I had not been settled," someone could save a film to give an intelligent score than this 1, and I",0.0014659076114184,597
I cannot believe that I wasted five,12090," years of my life,"" she says, still. ""It is unbearable to see", hours of my life making this. Giving that much money to a top seedy,6.30895374340002e-06,2015
I cannot believe this woodenly,5880," acted ball of genius might have a the career of Johnny Depp!"" Thankfully,"," mannered, beyond the vengeful strain of his Hollywood cinematography, is",1.3485434465100002e-05,980
I cannot vote on,22452, a DVD already. But I recommend you move on.<br /><br />, this actor or actress because this film is personal and i cannot be bothered TO make,0.0039669169927947,3742
I cant describe how terrible this movie,15114," really truly is, but it would probably be a zero-rating somewhere in the", is for my artistic taste whether I speak modern or not. But I don't,5.277688615000237e-07,2519
I cant help it,21744,". It's become a genre unto itself, it seems to be just another take"," i cringed for Jesus, what kind of an ugly cowardly man could kill himself",0.0001684427261352,3624
I caught,5766," this on TV. The English language version was cool too, sounding a little dance", a glimpse of Morgan Freeman playing a child murderer instead in a dark and horrifying manner,0.9962531449273232,961
"I caught """,13608,"Q Walt Murray and Outwit Jessie Johnson"" back at the local high school.","Jaws"" at my local TV station too, so I thought I'd just",0.0016263127326966,2268
I caught this stink,4788,in' Harry Taylor-installation while one of my coworkers sat in stockings,in' film through these cracks of bullshit movies La Cade has been finishing.,2.5871559045999607e-06,798
I checked this,19914," film and it is rated R under this rating (very negative), as I am", film to see if the film's writers knew what they were doing! It wasn,6.134388968300039e-06,3319
I cheer for,2976, the two main characters... [e.g.] the one in the comic book, America.<|endoftext|>,0.0002798438072203,496
I confess to have quite an uneasy,18540," sense regarding sex, and although that may be the case in ""Jew on a", impression of Faux due to the fact that I didn't feel too comfortable watching,0.0004247270990163,3090
"I confess--Emma, in",23292," retrospect, did do the accent better.<br /><br />I feel I"," quiet Ohio town, is addicted and eventually becomes a volunteer killing machine. Sonny and",0.8237316608428955,3882
I consider myself to be,24012," fairly educated and a French born Catholic, so both my father and I spend most", an atheist. But I feel that many people view them as an embarrassment to mankind,0.9898204039782286,4002
I considered myself to be,12552," a religious fanatic. For the most part, I found myself attracted to the supernatural"," a fan of the Hindi comedy of the hippies and whatnot, but for",0.9907718054018914,2092
I could,9846, actually groan & cry during those scenes but i was just watching the film so," relate to the other girl, B's behavior, really WASN'T CRE",0.985568906296976,1641
I could never,1044," really know whether he was going to be prepared for being turned around, try as", understand their reaction. About a third see Mystery Science Theater 3000 reviews in the cable,0.0005304502556101,174
I couldn,18798,'t resist trying to listen to this movie and realized how bad its message is.,'t bear the thought of going over the cracks to find out if this movie was,9.768817108099992e-06,3133
I couldn't,17088, help but root for the cast of Emily Bazelon and Stella Marcus before she, look on his face as if he were laughing. He told the story like a,0.9953386003617198,2848
I couldn't believe how lame,14016, this was. Kudos to the female dubbed voice of the hero. This film," this whole thing operated or how pointless it is! Not even bigger than ""An",3.3019459805999933e-06,2336
I couldn't wait,11166, to see this movie on Yahoo all weekend long - smashing it up with the funn, very much longer with all the young actors in his cast. I took an interest,0.0002219676971435,1861
I debated as to whether or,16530, not it was until I turned the pages and finally re-read it. God, not I should give up on this! Absolute crap! I thought a whole classic,0.998160717834253,2755
I desperately want to give this movie,3102, a smirk all through the writing.<|endoftext|>," another thought, let alone another exploitation flick if there isn't something plausible that could",0.9807008290663362,517
I did not,21444, like the ending.The gore and red flesh fill more of my head than anything, like how hard it was to promote it cause I don't remember the name myself,7.223978173000059e-06,3574
I did not expect a lot from,9150," Christmastime, in fact, I laughed 3 times in this book, except", this movie. Fans of Harry Potter films with some improv comedy that is fun or,0.7192879617214202,1525
I did not like,582," it! Kinda lame!""<|endoftext|>"," this movie and I warned you about it."" On the positive side: Frank Cap",7.265480235200028e-06,97
I didn,10902,"'t expect anything, that 80s scenarios actor certainly features!<br /><",'t know what his fanboy reaction was going to be until the beginning of the,0.9691987698897718,1817
I didn't,1182," entirely...well, intensely enjoy the movie. New Girl is not so crude as", expect this film to be a steal if it didn't feed me but I actually,1.5914440154807252e-05,197
I didn't expect much,5094, or nothing or anything and wasn't expecting as much as I expected. Surprisingly though," from the film in general. This is a movie so long in length, it",0.9928856579936108,849
I didn't know it,6264," was in the shop at all, so I didn't think about it until day","'s on IMDb for ""Radio Idol"" just another overrated jokes, delivered",0.0129114896990358,1044
I didn't like this Bill,23958, Maher some fans; but Jane Crawford is worth another look.<br /><br," Murray live experience. It was, of course, hilarious, especially in regard to",0.0071226228028534,3993
I didn't really expect much,18810," from this movie, but I liked the complexity of it and if you enjoyed things", from this movie. Since at the time it was released I thought I was going,0.9980425520916468,3135
I didn't think it would be,18420," as great as the original, so to say I hated it, even though it", a major disappointment because I loved the movie and chose to watch the B-grade,5.638005677609996e-05,3070
I didn't think the French could,2442," pull this from the whitest border movie most Americans have ever seen. But,"," go that far.""...And then he abruptly ends it and winds up imprisoned for",0.9890564658562654,407
I disagree with much that has,14706, to do with the theory that those who emulate gratuitous nudity constitute degrading enjoyment.," been made about American romantic heroics in recent years, Apocalypse Now has been",0.0017991311615332,2451
I disliked this film intensely,9882, for the romantic aspects of it is that i loved the part they were playing i, as I still have several people who like it and I still haven't seen it,2.520217094599997e-06,1647
I do,11256, not have anything against negative experiences....need I say more? <br /><," not know the numbers of copies I collect, either, though there are at least",0.9837154550477863,1876
I do admit,13494, to depression. But I go to a lot of meetings anticipating the perfect one., that I hate every artist who makes money off his work for the mONEY.,0.9865625556558372,2249
I do agree,24408, with everyone in this picture who re-badgered us on the idea of," when one say ""But thats not all!"" Ok, holy crap this DVD is",0.0268281698226929,4068
I do not believe all,12300, music suffers from abortion. While I think that Roger Ebert probably does have a," obstacles in life line up with strictly moralistic or religious beliefs, e.g",0.0015474073588847,2050
I do not know if this movies,17856, is a must see or a subtractvation to the film itself. In the," were made like the ) of Kubrick, but they sure suck!!<|endoftext|>",0.9949966127751396,2976
I don,2634,'t think I'd see one this bad for far too long. Sure it's,'t think this movie would give much of a support to a movie as it didn,1.8653983715900065e-05,439
I don't,372, mind toolessly carousing comments on the disc so I'll save myself the trouble," think that they could ever really learn from this one it just got to me,",0.0033135886769742,62
I don't buy,21174," that everyone's atypical wear sizes, particularly skinny-cam jeans or had"," exactly those things, and I would ever be unsure whether or not I was going",0.0010078872437589,3529
I don't even know where to,20484, begin...where in the world do you think they are all? After a while, begin to describe this and the reason for it is that the whole idea of Brothers,0.0005714741419069,3414
I don't give much credence,3036," to what there is of a collapse of high expectations around the film, but the"," to Leo, as Fuller Bacon had already made me believe in himself. Go watch",0.9877858788240704,506
I don't know,7548,/gregor) posits a path in which a husband gets pursued with destructive," if it's true, but I don't like it either because I think it",0.0048064270522445,1258
I don't know much about T,17544,roma or Moore with the revival in the romantic comedy scene part but I noticed that,"ouze. Though he's not bad as she, this version is okay for",0.9832081680651756,2924
I don't know what,6300, you're thinking when you think about this film. Some people are desperate. Others, to do effective. I'll see if I could. I can fold them and,0.0149175052647478,1050
I don't know who wrote the,21024," right amount of white preshaw parts, I needed some more actual wrestling factor", script; but my comments of some advantage to it don't fit the definition.,0.0007919652853161,3504
I don't know why I,22218, usually never read Ettore Verdidco's short films. Fortunately it's," gave it a 0 because it didn't attempt to ""Kick Ass"". The bad",0.9948287779698148,3703
I don't know why I keep,15210, popping up all the time while commenting this. Anyone who is offended has wasted their," keeping this in the background anymore, 9/11 is not even mentioned yet the",1.617841189730006e-05,2535
"I don't know why, but",15702, it helps to keep your sense of humor on the edge. The performance in particular, he and Paul didn't even seem to fit together. DON WOODS',0.9976203390397134,2617
I don't normally,2874, select films these days and the subject matter is not that worthy of a bunch of," like to see Less Than Zero comments, because they always reminded me of the bad",1.28952087835e-05,479
I don't really know where,13386," they make it; in Canada, there aren't a lot of songs I've", the hell it came from.<br /><br />The satire could have been,0.981867481197696,2231
I don't really post,22458," when I have an ideal piece of jewelry, including the old looking blue eye,", pictures of this commotion for another website. Shouldn't it have mentioned about,0.0032213423401117,3743
I don't see,11562, how it went wrong. Everything that helped get my proposal to an early state on," why people just go for the restoration whenever they see it, because it's a",0.9946114677004516,1927
I don't see what,24276,'s more important than the disgust of the circus. They were clearly putting him through, else sources are saying right now.<|endoftext|>,0.0002142196753992,4046
I don't think any,5736, Bryant Hettinger films are as bad as these.<br /><br />," of us are suited to this role. I've always hated it, tried hard",1.0223244316900004e-05,956
I don't think you can,8394, make us think otherwise.<|endoftext|>," keep all these things in your head for even a minute, until the end credits",0.9794288752018476,1399
I don't understand,5850," all of the snakesfolk. Anyway, leave your mind for the trials and trib", all of them. They're like four kids in a family of six. I,0.9890101638738998,975
"I don't understand how """,6822,"gridlock is funny,"" but I do recognize it because it was on a Saturday","Rapture Mama"" is filmed or adjusted to a budget higher than it is",0.0050096797640436,1137
I don't understand why making,19350," such commentary on other movies was even a thought. After all, there are films", this movie is so dumb and totally lazy! The only reason I didn't want,1.3899407349499994e-05,3225
I don't understand why people,16704, who criticize this are so critical. There are a lot of filmmakers trying to improve," leave their houses!! Why do they leave the house. Obviously, something is missing",0.9935614498681388,2784
I don't want,5460, this to be reminded of anything bad that happened a long time ago that I will, to say I've seen the perfect Rudolph in the past but this image is just,0.0031398618593812,910
I don't want to,11454," give it away, but wonderful music and subtle twists keep you out of it."," take sides at this cappuccino-swearing school, but I just",0.9973123183008284,1909
I dug this out and watched,19530," lots of movie tours, but this one blew me away as an adult or something"," it first hand. The acting was the worst ever, the animation was horrible and",0.9983523866976614,3255
I dunno,14310,. The last 10 years have been very painful for me.<br /><br,", who wrote the script? The Gun crews in origin mixed up the acting completely",0.0023057486396283,2385
I ended,7590, up watching the book loose somehow. I just had no desire to learn anything since," up with really bad sets, and was rightly expected to be lecturing unsuspecting viewers",2.311309799550001e-05,1265
I enjoy watching western films but,6330," not many films exist and: I watched ""Eddie"" whilst trying to"," not I), mostly this movie<br /><br />is quite conventional at",0.996630735171493,1055
"I enjoyed ""American",24252," Werewolf Vengeance"" and mood, I think it succeeds in portraying a generic zombie."," Stunt Murder"", except for the portrayal of a handsome, amnesiac disillusion",0.0015516877174377,4042
I expect the same,23808," in Tango), but has it's problems in the surest way.<br", thing a ton of studio heads (or directors) expect from Germany if they actually,0.0005146757466717,3968
I feel,22254," that Ali's performance will appeal to all of you, on every level.<br"," like someone should write me a way to raise 10 points, ask me whatd",0.998387838655617,3709
I feel like I'm the,6528," type to judge Ishtar's performance by starting nitpicking, pretending we're watching"," only mass murderer in this movie, i just wish I would have someone to bring",0.0003318253438919,1088
I felt that,18822, as a drama I could barely help but laugh at it.<br /><br, for me it wasn't the best way to watch this film. I didn't,0.0039955459651538,3137
I figured the whole joke,21426, was about Zeck's being forced to fight for himself and his mother. It, was just silly.<|endoftext|>,0.001618557376787,3571
I finally,4332, got out and got a look at the thing 3 years ago. Like the DVD," get this to play the part of Nick Loeb, where he tries to defend",0.9938303497619928,722
I finally got to,22698, see this movie with passion and through sheer magic...Coming back to this movie!!," see this time, with Robert De Niro with Shoe..video! I",0.0007806420326234,3783
I find myself wondering what the people,14490, on the extreme right want to call the idea that the Swedish and mainstream media has, lurking around are thinking and they need to work around it up rather than reassert,0.0001056368928403,2415
I first didn't want,6948," to hear credits, when other people remembered that for generous movie projects another guy named", to think about the inevitable thrill of upsetting the dazed kid who has just cr,0.00111157563515,1158
I first learned of the Wendigo,14988,", as I have since seen from the Fellowship in my beloved Tolkien's wonderland"," in the afternoon; after receiving this denial, I slowly began to realize something else",0.9960576141020284,2498
I first saw,13458," this on a high school TV series in New York in 1972, and screened it", this movie in New York one week after it had already been theatrically starred,0.0133806467056275,2243
I first saw the live musical,20298,"s ‖ and two of them are good. The first: ""C your", number after it was taped and had the opportunity to copy the commercials for MGM and,0.0043175220489499,3383
I first saw this movie,17724, when you were a kid. That was it then. It sparks a interest in, when it was released on DVD back in August 2004. I saw the movie four,0.0003807544708251,2954
I firstly and,7932, most importantly for those who are reading this I will make a comment about some of, verily keep a small record of this in my (very small budget handed thus,0.007478713989258,1322
I found,4938, it rather awkward at times.<br /><br />Coerce and Tr, it frustratingly slow and has little narrative evidence. Three successive bouts consist of Lord,0.0001242593280039,823
I found it,5430, very funny and strange to see people who be so repulsed by death as," quite enjoyable, but I felt like watching the Lifetime movies were not fulfilling and slowly",0.9762275461107494,905
I found the,17574," script, or at least the performances, soothing. The whole concept with Bauer and", visuals way too sleazy and preachy. I found the storyline more realistic than,0.9982097717584112,2929
I found the pace to,11736," be rather slow, but that still did not stop the series and will not be", be excruciating and even more so when McQuade's character starring Joanne Hayes,0.9964734700624832,1956
I found this,19758," outstanding aerial comedy as thrilling and skillfully played by Dennis Quaid, also known"," film a bit too ""funny"" and long. You will find there is",0.9981769818696196,3293
I found this film to be quite,3630, unique. I cannot pick anything in this film to criticize but in case someone is," good. The then youth leader's suggestion that his family return to Egypt, after",3.7431716919056335e-05,605
I gave it,24768, an 8 and I take all territies of this film seriously when it comes to, five stars. I'm not one of those people so WHOLE TVISTS,0.0001850128173828,4128
I gave this,1062, movie a 9 out of 10.<br /><br />The people who say, thoroughly uneven performance a 3.<|endoftext|>,0.9981317167403176,177
I gave this two stars,11544, or at least a good rating. I hope I catch this on VHS or," because I have to admit I liked Joe anyways, but the episodes in the beginning",6.054411642250005e-05,1924
I get the,21210," feeling it's still going strong next year. Its a good movie, I buy", feeling Katie and I loved this movie fresh out of Blue Velvet for lot in which,1.6033649444802123e-05,3535
I get the feeling,10254, when I see film for the first time that this won't be the first one, that some were simply lacking in character or wit and brought to and from training two,0.9933782603475266,1709
I get to,2838," text, thank you for inviting me into your iron shows chum and cheesy dun"," sneak up and say bad stuff to my roommate - who is not, apparently """,0.987871658115182,473
I give,24672," it Grade 1's because it gets my chumps. Anyway, i thought it", them a 10 instead. Kane just might have paid a visit!<|endoftext|>,0.0016431212425231,4112
I give 3 stars only,8964," because of what happens with her called ""the school play girl."" She's so", because I think the product was poorly made........<br /><br />I,0.0001113301841542,1494
I give this film it,4950,'s vote of 5 out of 10. I definitely give 7 out of 10 for, one star out from me because it speaks to how what were Stephane Bourban,0.998185986711178,825
I go to,12534, Burger King each month for outstanding burgers and don't forget to eliminate the Goat-, a horror film. (Don't even go to a horror film myself...ie,0.9973949091508983,2089
I got,22626, this one because of the campy 'Little Big Head' stuff - perfect for," so scared, I swam to them but...there is no fighting scenes.",0.9975727041019128,3771
I got a DVD,23034," of this, after watching this movie I am astonished that it has not peaked in"," set for Christmas, before it was released elsewhere in America, and I still can",0.000340163707733,3839
I got myself a,10410, sandwich here and pulled out a loaf of bread. Thanks for that.<br /, DVD. That was scary. Very disappointing from the beginning to the end. Great,0.9980743121705018,1735
I got the DVD very cheap,15798, but it is still reliable. Elrymple delivers an interesting B-movie,", a good view, and best of all, at no charge.<br /",6.633996963500977e-05,2633
I got this,6414, flick briefly used in one episode. Trying to avoid being snubbed by people, as a delight because was that the plot?<br /><br />There,0.0026530772447586,1069
I got this DVD,7974,! One night I stumbled across the whacky little abandoned house in the background!, in the mail. My wife put it on! I hate to be closed to,0.0005611777305601,1329
I got this film from,13800, the local Devus bakery which had all the ingredients and it was totally lovely.<," advertising agency Altam Saddler for $4.00 it was cheap, low",0.9978433867217972,2300
I got this movie because,2052, of Oprah into my consciousness. It had all the feeling that Oprah Winfrey was," I thought it was the most superior piece of cinema I'd ever seen, but",0.9533079080283642,342
